Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
France,132,Financial Institutions Access Index,FD_FIA_IX,Value,0.4464917,0.4085114,0.4734031,0.5355238,0.495913,0.5069965,0.513517,0.5189335,0.5378346,0.5222447,0.5134695,0.5230998,0.5284,0.5716127,0.6253421,0.6311488,0.6510177,0.6797917,0.6359212,0.6113156,0.611602,0.6285326,0.6339211,0.6402711,0.6636056,0.704834,0.9612586,0.9893476,0.9856166,0.9567074,0.9527014,0.9503255,0.9241897,0.9204079,0.9142417
France,132,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.7044294,0.6671685,0.7081556,0.7348436,0.7089923,0.7153155,0.7138812,0.7078639,0.7128884,0.6961079,0.6792508,0.5759506,0.6015775,0.6113119,0.6429337,0.6375813,0.6238906,0.6481748,0.6683075,0.6527478,0.6642685,0.6713923,0.6882829,0.6822281,0.6867221,0.6945693,0.6775302,0.6860445,0.6804366,0.6991777,0.7182617,0.7088284,0.6934143,0.7096396,0.683907
France,132,Financial Markets Depth Index,FD_FMD_IX,Value,0.1276713,0.116811,0.1353664,0.1531294,0.1418029,0.1449722,0.1468367,0.1483855,0.1537901,0.227644,0.1568188,0.1735213,0.1594918,0.2396055,0.2784798,0.299623,0.3129802,0.4258723,0.5630258,0.7246218,0.8165354,0.7927974,0.7490782,0.8294722,0.8777295,0.8887918,0.9755306,0.9752749,0.8415201,0.8642174,0.8526201,0.7752025,0.8042127,0.8042355,0.8040934
France,132,Financial Markets Efficiency Index,FD_FME_IX,Value,0.1938486,0.1773591,0.2055325,0.2325028,0.2153053,0.2201174,0.2229483,0.2252999,0.233506,0.3456414,0.3383228,0.337155,0.3425566,0.4243599,0.6663985,0.7360643,0.4891987,0.6251343,0.6975073,0.6274,0.7285419,0.8077713,0.8578676,0.9337237,0.954519,0.9039193,1,1,1,0.774779,0.7395436,0.8289056,0.6527122,0.6527122,0.6527122
Germany,134,Financial Development Index,FD_FD_IX,Value,0.6077206,0.597876,0.5872503,0.6001599,0.6153089,0.6182203,0.6233083,0.6174765,0.6192496,0.6604863,0.6374892,0.6226847,0.6118712,0.5771319,0.631996,0.6435044,0.6755353,0.6630735,0.7198429,0.7119154,0.7349479,0.7749695,0.7561923,0.7730978,0.7866799,0.7919242,0.8122834,0.8042571,0.7665207,0.7668728,0.7573749,0.7433405,0.7432214,0.7446145,0.745221
Germany,134,Financial Markets Index,FD_FM_IX,Value,0.469932,0.4583768,0.4497565,0.4608167,0.4775483,0.481857,0.4938303,0.4833726,0.4865689,0.5565585,0.4971025,0.4793482,0.4654544,0.4016408,0.4944145,0.5171337,0.5686072,0.5337897,0.6421728,0.6512949,0.6927724,0.7752808,0.7390982,0.7784087,0.7862079,0.7923966,0.8489293,0.8394207,0.7718205,0.7646541,0.7532041,0.737525,0.7393669,0.7444272,0.7405114
India,534,Financial Institutions Index,FD_FI_IX,Value,0.2169132,0.2219098,0.2322531,0.2335338,0.2429193,0.2438323,0.2505363,0.2482147,0.2376648,0.2448092,0.2348649,0.2290359,0.1966583,0.2214551,0.2274849,0.2212736,0.2283215,0.2247184,0.2210319,0.2140029,0.2352063,0.2449656,0.2624985,0.2663211,0.2769304,0.2852125,0.2975295,0.3206043,0.3222681,0.336747,0.336924,0.3357676,0.3447037,0.3434294,0.3585978
India,534,Financial Markets Index,FD_FM_IX,Value,0.2108503,0.2178923,0.2336359,0.2355992,0.2513849,0.2532261,0.266323,0.2617628,0.2434595,0.2819787,0.2938482,0.274088,0.2212578,0.214754,0.2135216,0.1748303,0.3867657,0.5086201,0.4852939,0.5628379,0.5620854,0.5112129,0.5278047,0.555694,0.5589184,0.5408103,0.5686676,0.539265,0.4792773,0.6108224,0.5422131,0.409593,0.4298462,0.4417313,0.4359508
India,534,Financial Institutions Depth Index,FD_FID_IX,Value,0.0782907,0.080907,0.0867555,0.0874847,0.0933004,0.0939383,0.0988291,0.0971602,0.0903189,0.0950877,0.0889703,0.0888563,0.0944302,0.1263541,0.126793,0.1227787,0.1293495,0.1323348,0.1334839,0.1420427,0.156163,0.1644848,0.1979896,0.2052362,0.2164496,0.2330946,0.2588615,0.313038,0.3041396,0.3334754,0.3114794,0.2890274,0.2934972,0.279079,0.2808575
India,534,Financial Institutions Access Index,FD_FIA_IX,Value,0.0711644,0.0735426,0.0788587,0.0795216,0.0848079,0.0853878,0.0898334,0.0883164,0.0820978,0.0864326,0.080872,0.0801461,0.0804348,0.0890723,0.0862185,0.0826643,0.0849706,0.0826683,0.0848219,0.0824897,0.0883853,0.0931379,0.1005119,0.1017622,0.1101678,0.1098531,0.1114978,0.1159914,0.1240377,0.1324861,0.1473141,0.1606622,0.1790472,0.1961445,0.2325628
